the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.9583068119819 40.707227127211496, -73.95793657480958 40.70719588885292))",3,Brooklyn,301,33,50,26,7,DIVISION AVENUE,184417,4,1139,BK0103,BK,Community,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,103.2775712
"MULTILINESTRING ((-74.07435061318336 40.61278596238671, -74.07550126273044 40.61224004655127))",5,Staten Island,501,49,64,23,11,AMITY STREET,118575,5,67500,SI0103,SI,Baseline,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,376.3242937
"MULTILINESTRING ((-73.95793657480958 40.70719588885292, -73.95786224106563 40.707189612117105))",3,Brooklyn,301,33,50,26,7,DIVISION AVENUE,184418,4,1139,BK0103,BK,Community,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,20.73558305
"MULTILINESTRING ((-74.07977917553804 40.59062706700719, -74.08055893993175 40.59042301277696))",5,Staten Island,502,50,64,"24,23",11,NUGENT AVENUE,14354,5,71734,SI0201,SI,Baseline,Grasmere-Arrochar-South Beach-Dongan Hills,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"1,2",228.9733114
"MULTILINESTRING ((-74.08247058756531 40.633468192759096, -74.08291708158801 40.63291781086083))",5,Staten Island,501,49,61,23,11,WARD AVENUE,16247,5,67163,SI0102,SI,Baseline,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,,235.7245336
"MULTILINESTRING ((-74.08026129579508 40.61074069385561, -74.08028362863453 40.610602097876146, -74.08032234973284 40.61046475026909, -74.08037721760455 40.61033033606287, -74.08044754404379 40.61020047665527, -74.08053230751375 40.6100766847098))",5,Staten Island,501,49,61,23,11,LEEWOOD LOOP,103929,4,67513,SI0103,SI,Community,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,255.3944196
"MULTILINESTRING ((-74.13828580400917 40.573533520880126, -74.13965062249424 40.57332902644575))",5,Staten Island,502,50,62,24,11,MACE STREET,7000,5,73761,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","4,5",386.406812
"MULTILINESTRING ((-73.91212990475805 40.88112220225103, -73.912003149307 40.88134785329201, -73.91188961011835 40.881577917657154, -73.91178966669523 40.88181170950371, -73.91170362024417 40.882048546527784, -73.9116316842502 40.88228769772798))",2,Bronx,208,11,81,34,16,EDGEHILL AVENUE,73278,4,23745,BX0803,BX,Community,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,447.3174385
"MULTILINESTRING ((-74.0790999728498 40.610939137302694, -74.07982536937054 40.60972391216411))",5,Staten Island,501,49,61,23,11,MOSEL AVENUE,105654,5,67695,SI0103,SI,Baseline,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,486.397622
"MULTILINESTRING ((-73.91147021081508 40.889629223716284, -73.91145881049992 40.88983199534688, -73.91142950448733 40.89003464427217, -73.91138233017686 40.890235696412375, -73.91138230748741 40.89023580445322, -73.91138227057067 40.8902359034783, -73.91131746677378 40.89043412262858, -73.91123547402088 40.89062828533853, -73.91113708908469 40.89081698742805))",2,Bronx,208,11,81,34,16,BLACKSTONE AVENUE,73322,4,23549,BX0803,BX,Community,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,445.3341748
"MULTILINESTRING ((-73.90908273223707 40.89867460265676, -73.90881224023606 40.89959663815954))",2,Bronx,208,11,81,34,16,ARLINGTON AVENUE,73507,5,23939,BX0803,BX,Baseline,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,344.1576415
"MULTILINESTRING ((-73.91695971654165 40.67071409964364, -73.91685972635811 40.67070855229156))",3,Brooklyn,316,41,55,"20,25",9,STERLING PLACE,184493,4,15391,BK1601,BK,Community,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,,27.81107458
"MULTILINESTRING ((-73.89846538034297 40.72334398252575, -73.89812418300659 40.7235089147981))",4,Queens,405,30,30,15,6,58 AVENUE,73941,5,41738,QN0501,QN,Baseline,Maspeth,X,AREA OF MINIMAL FLOOD HAZARD,,112.0494722
"MULTILINESTRING ((-74.07988066941867 40.616835291638544, -74.07882760375092 40.61598253165772))",5,Staten Island,501,49,61,23,11,OSGOOD AVENUE,126704,5,67334,SI0103,SI,Baseline,"Tompkinsville-Stapleton-Clifton-Fox Hills,Rosebank-Shore Acres-Park Hill",X,AREA OF MINIMAL FLOOD HAZARD,,426.6131608
"MULTILINESTRING ((-74.07988066941867 40.616835291638544, -74.07882760375092 40.61598253165772))",5,Staten Island,501,49,61,23,11,OSGOOD AVENUE,126704,5,67334,SI0103,SI,Baseline,"Tompkinsville-Stapleton-Clifton-Fox Hills,Rosebank-Shore Acres-Park Hill",X,AREA OF MINIMAL FLOOD HAZARD,,426.6131608
"MULTILINESTRING ((-73.9537119121409 40.82727549063605, -73.954157923586 40.82724363818039))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,184626,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",2,123.9786889
"MULTILINESTRING ((-73.95360670739089 40.8272830035155, -73.9537119121409 40.82727549063605))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,184625,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,2,29.24394988
"MULTILINESTRING ((-74.02192439703106 40.63928485884767, -74.02175432542911 40.63918139364129))",3,Brooklyn,"307,310",38,51,23,7,64 STREET,184592,4,9178,BK0702,BK,Community,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,60.40547227
"MULTILINESTRING ((-74.07681277240418 40.607214005107416, -74.07694236468433 40.60684367331207))",5,Staten Island,501,49,64,23,11,HYLAN BOULEVARD,302878,5,67658,SI0103,SI,Baseline,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,139.637444
"MULTILINESTRING ((-73.84764452931059 40.57361149363219, -73.84878176268195 40.57558928919162))",4,Queens,414,32,23,15,5,BEACH 130 STREET,285637,5,66484,QN1403,QN,Baseline,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1,786.7756012
"MULTILINESTRING ((-74.07644301453344 40.60677438175265, -74.07684031260219 40.60683220139499))",5,Staten Island,501,49,64,23,11,NARROWS ROAD NORTH,120597,5,67700,SI0103,SI,Baseline,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,112.3103421
"MULTILINESTRING ((-74.07487805700474 40.61742137456398, -74.07498307898246 40.61735574817651))",5,Staten Island,501,49,"61,64",23,11,GREENFIELD AVENUE,255796,5,67073,SI0102,SI,Baseline,"Tompkinsville-Stapleton-Clifton-Fox Hills,Rosebank-Shore Acres-Park Hill",X,AREA OF MINIMAL FLOOD HAZARD,3,37.70638303
"MULTILINESTRING ((-74.0865865567778 40.583684179347195, -74.08682179111044 40.583426982339034))",5,Staten Island,502,50,64,24,11,NUGENT AVENUE,184634,5,72613,SI0202,SI,Baseline,New Dorp-Midland Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,114.2349012
"MULTILINESTRING ((-73.86698058345401 40.816635280277445, -73.86690377438427 40.816645841826755))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007528,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,21.60583715
"MULTILINESTRING ((-73.8861832251365 40.724610058929144, -73.88617085495521 40.7240839678859))",4,Queens,405,30,30,15,6,75 STREET,74515,5,41280,QN0501,QN,Baseline,"Maspeth,Middle Village",X,AREA OF MINIMAL FLOOD HAZARD,,191.7018942
"MULTILINESTRING ((-74.07541759819142 40.61826739991832, -74.07538185494472 40.61821135332597))",5,Staten Island,501,49,61,23,11,TOMPKINS AVENUE,323923,5,67139,SI0102,SI,Baseline,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,3,22.70270898
"MULTILINESTRING ((-73.93023982697107 40.826870623164616, -73.92985605434647 40.82671373116259))",2,Bronx,204,8,84,29,15,EAST 157 STREET,184681,3,20943,BX0401,BX,Neighborhood,"Concourse-Concourse Village,Yankee Stadium-Macombs Dam Park",X,AREA OF MINIMAL FLOOD HAZARD,5,120.6154503
"MULTILINESTRING ((-73.87917725544644 40.73232691486112, -73.87903463220299 40.73245080935038))",4,Queens,404,25,35,16,6,55 ROAD,74898,5,40689,QN0401,QN,Baseline,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,59.9993209
"MULTILINESTRING ((-73.87903463220299 40.73245080935038, -73.87869685053755 40.73269673424373))",4,Queens,404,25,35,16,6,55 ROAD,74899,5,40408,QN0401,QN,Baseline,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,129.5821109
"MULTILINESTRING ((-73.86628721899 40.81673062262576, -73.86617638473092 40.816745862835525))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007537,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,31.17683721
"MULTILINESTRING ((-73.87932115711412 40.741203557312694, -73.8787142100691 40.74073267445894))",4,Queens,404,25,"39,35",16,6,CLAREMONT TERRACE,74953,3,40475,QN0401,QN,Neighborhood,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,240.2505655
"MULTILINESTRING ((-73.90358075598736 40.747428594025976, -73.90379132745299 40.74695343665364))",4,Queens,402,26,"34,30",12,14,60 STREET,75379,5,38937,QN0203,QN,Baseline,Woodside,X,AREA OF MINIMAL FLOOD HAZARD,,182.6830432
"MULTILINESTRING ((-74.0988417128474 40.60804612027373, -74.09826817783858 40.60806741502163))",5,Staten Island,502,50,63,24,11,MICHAEL LOOP,13092,5,73280,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,159.4384522
"MULTILINESTRING ((-73.90394110585028 40.7592329529792, -73.9031323270271 40.75933445608467))",4,Queens,401,22,36,13,14,30 AVENUE,75444,4,37318,QN0104,QN,Community,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,,227.0907747
"MULTILINESTRING ((-73.90155848871673 40.751994928114634, -73.90162198138198 40.75238848468025))",4,Queens,402,26,34,"12,16",14,60 PLACE,75604,5,39108,QN0203,QN,Baseline,Woodside,X,AREA OF MINIMAL FLOOD HAZARD,,144.4604746
"MULTILINESTRING ((-74.07326433611973 40.64247172113041, -74.07315892933156 40.64249568709929, -74.0730560527035 40.64252535524889, -74.07295623685101 40.64256057126053, -74.07285999581185 40.64260115291169, -74.07276782823152 40.642646892776476, -74.0726802067192 40.6426975537295, -74.07259758612918 40.642752874343564, -74.07252039055695 40.642812568897504, -74.07244901807205 40.64287633097507, -74.07242950943096 40.64290582263904, -74.07241252220399 40.642936207827326, -74.07239812955181 40.64296735862136, -74.07238638808776 40.64299914981446, -74.07237734732328 40.64303144809942, -74.07237104495016 40.64306412197756, -74.0723675056522 40.643097036355954, -74.07236674583774 40.64313005614674, -74.07236876654572 40.643163045371075, -74.07237356053855 40.643195867154546, -74.07238110875934 40.643228387331504))",5,Staten Island,501,49,61,23,11,FERRY TERMINAL VIADUCT,194720,3,66722,SI0101,SI,Neighborhood,St. George-New Brighton,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,2",407.1007827
"MULTILINESTRING ((-74.2409323602713 40.50993443795777, -74.24070553222971 40.50934770367005))",5,Staten Island,503,51,62,24,11,JOYCE LANE,363,5,79656,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,222.8722742
"MULTILINESTRING ((-73.89431382374536 40.74560340253557, -73.89419233393853 40.74486328116024))",4,Queens,402,26,"34,39",16,"6,14",71 STREET,75892,5,38826,QN0203,QN,Baseline,Woodside,X,AREA OF MINIMAL FLOOD HAZARD,,271.7431075
"MULTILINESTRING ((-74.24113052849869 40.51201815104524, -74.24058530841617 40.511492789972934))",5,Staten Island,503,51,62,24,11,FISHER AVENUE,365,5,79442,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,244.169473
"MULTILINESTRING ((-73.94038704507746 40.7353116984446, -73.94031562820187 40.73526841365342, -73.94024548867081 40.735223936307214, -73.94017665961279 40.73517828893832, -73.94010917652295 40.73513149498067, -73.9400430713469 40.73508357516494, -73.93997837602609 40.735034554724386, -73.93991512368677 40.734984457091755, -73.93985334508672 40.7349333065993, -73.93979306979844 40.734881128478946, -73.93973432739442 40.73482794796289, -73.93967714626191 40.7347737911829, -73.93962155597022 40.73471868607262, -73.93956758253907 40.734662657862174, -73.93951525198575 40.734605734483296))",4,Queens,402,26,37,12,12,RAILROAD AVENUE,272170,5,38161,QN0202,QN,Baseline,Sunnyside,AE,,1,354.2928458
"MULTILINESTRING ((-74.07519400852057 40.642244477797384, -74.07523799360247 40.64233500428093))",5,Staten Island,501,49,61,23,11,RICHMOND TERRACE,160831,4,66665,SI0101,SI,Community,St. George-New Brighton,X,AREA OF MINIMAL FLOOD HAZARD,2,35.1677281
"MULTILINESTRING ((-73.87898696190405 40.76479480831484, -73.87808488940708 40.76489067055694))",4,Queens,403,22,35,13,14,24 ROAD,76537,5,39935,QN0302,QN,Baseline,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6,252.3130736
"MULTILINESTRING ((-74.03649125987566 40.61798915565069, -74.03622076839659 40.617906267218))",3,Brooklyn,310,43,46,22,11,95 STREET,16753,4,9274,BK1001,BK,Community,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,80.93896431
"MULTILINESTRING ((-74.24058530841617 40.511492789972934, -74.241981635729 40.510815850927266))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,367,5,79778,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,459.976469
"MULTILINESTRING ((-73.94287979804918 40.737068403888905, -73.94266518495941 40.7369778025093, -73.94245512723657 40.736881222732116, -73.94224991248376 40.736778796200404, -73.94204982118639 40.736670664460725, -73.94185512671575 40.73655697446026, -73.94166609650902 40.73643788304991, -73.94148298970498 40.736313552480496, -73.94130605714192 40.736184153103764, -73.9411355401743 40.736049862471376, -73.94097167304122 40.73591086443523, -73.94081467931426 40.73576735004602, -73.94066477545128 40.73561951485337, -73.9405221648749 40.735467561604096, -73.94038704507746 40.7353116984446))",4,Queens,402,26,37,12,12,RAILROAD AVENUE,272169,5,38161,QN0202,QN,Baseline,Sunnyside,AE,,1,952.2939291
"MULTILINESTRING ((-73.78432074456353 40.697426148069894, -73.78412074923328 40.6971052518597))",4,Queens,412,27,29,14,5,171 STREET,184890,5,57727,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6,129.3982564
"MULTILINESTRING ((-73.7848120010125 40.69754969976313, -73.78451866136365 40.697694826359445))",4,Queens,412,27,29,14,5,108 DRIVE,184893,5,57833,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6,97.01497682
"MULTILINESTRING ((-73.86711586002755 40.81661667799348, -73.86698058345401 40.816635280277445))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007527,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,38.05241154
"MULTILINESTRING ((-74.06341528764302 40.5929732104554, -74.06369653210443 40.59331539776782))",5,Staten Island,502,50,64,23,11,SEA GATE COURT,184918,5,71320,SI0201,SI,Baseline,Grasmere-Arrochar-South Beach-Dongan Hills,AE,,1,147.1154588
"MULTILINESTRING ((-73.78476577259954 40.6896071536122, -73.78471497298251 40.689656269086804, -73.78466249670554 40.68970435391272, -73.78460838173497 40.68975137393913, -73.78455266366568 40.689797296811754, -73.78449538282203 40.68984209108579, -73.78443657716277 40.689885725311996, -73.78437628700733 40.68992816984652, -73.78431455385545 40.68996939594831, -73.78425142275645 40.690009374883076, -73.78418693284202 40.69004807880586, -73.78412113270245 40.6900854816906, -73.7840540650134 40.690121557500184, -73.78398577717996 40.69015628110696, -73.78391631542182 40.69018962828159))",4,Queens,412,27,32,14,5,ODONNELL ROAD,275837,5,57459,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,5,318.8445315
"MULTILINESTRING ((-74.02554978518863 40.63755700562673, -74.02546282945693 40.63758865203579, -74.02536818456173 40.63760619615008, -74.02527185525965 40.637608531694696))",3,Brooklyn,310,43,51,22,10,SENATOR STREET,105745,5,9185,BK1001,BK,Baseline,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,80.52946229
"MULTILINESTRING ((-74.23987571236405 40.51035095929458, -74.23890805041673 40.51054365644712))",5,Staten Island,503,51,62,24,11,SANFORD STREET,373,5,79387,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,278.0845559
"MULTILINESTRING ((-73.89291882245644 40.82327814062209, -73.89294687074789 40.82413931134587))",2,Bronx,202,17,85,32,15,SIMPSON STREET,77554,3,20314,BX0202,BX,Neighborhood,Longwood,X,AREA OF MINIMAL FLOOD HAZARD,,313.8518319
"MULTILINESTRING ((-73.90216802037183 40.84261761509152, -73.9019583044844 40.8425563655667))",2,Bronx,203,"16,15","86,79",33,15,EAST 173 STREET,78355,5,20563,BX0302,BX,Baseline,Claremont Village-Claremont (East),X,AREA OF MINIMAL FLOOD HAZARD,5,62.16894543
"MULTILINESTRING ((-73.90233498716192 40.84266637422251, -73.90216802037183 40.84261761509152))",2,Bronx,203,"16,15","86,79",33,15,EAST 173 STREET,78351,5,20563,BX0302,BX,Baseline,Claremont Village-Claremont (East),X,AREA OF MINIMAL FLOOD HAZARD,5,49.49554238
"MULTILINESTRING ((-74.24148982472434 40.51513953208147, -74.24103859785089 40.51465778631126))",5,Staten Island,503,51,62,24,11,BREHAUT AVENUE,381,5,79389,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,4,215.7436695
"MULTILINESTRING ((-73.86686003337088 40.81665185707962, -73.86672721325813 40.81667012061423))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007530,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,37.36134433
"MULTILINESTRING ((-73.8995256792025 40.8501037872138, -73.89875039220436 40.84995647319778))",2,Bronx,"206,205",15,86,33,15,ALDEN PLACE,78555,4,21937,BX0502,BX,Community,Mount Hope,X,AREA OF MINIMAL FLOOD HAZARD,,221.10175
"MULTILINESTRING ((-74.24103859785089 40.51465778631126, -74.24177254956874 40.51405551554921))",5,Staten Island,503,51,62,24,11,CRAIG AVENUE,382,5,79729,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"2,4",299.6551425
"MULTILINESTRING ((-73.87577822273207 40.68863756545705, -73.87570776934439 40.68856396239179))",3,Brooklyn,305,37,54,18,7,CYPRESS HILLS STREET,184972,4,4537,BK0501,BK,Community,"Cypress Hills,Highland Park-Cypress Hills Cemeteries (South)",X,AREA OF MINIMAL FLOOD HAZARD,,33.1789937
"MULTILINESTRING ((-73.86672721325813 40.81667012061423, -73.86669820115938 40.8166741105005))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007531,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,8.160929803
"MULTILINESTRING ((-73.84384448873959 40.676764962535565, -73.84372399942411 40.67673887308447))",4,Queens,410,32,23,15,8,SUTTER AVENUE,184985,4,52858,QN1002,QN,Community,Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,6,34.74640524
"MULTILINESTRING ((-73.88436723863785 40.82530885926873, -73.88327865959802 40.825397703227786))",2,Bronx,209,17,85,32,15,WATSON AVENUE,79058,4,24400,BX0901,BX,Community,Soundview-Bruckner-Bronx River,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY","2,4",303.0084346
"MULTILINESTRING ((-74.24103859785089 40.51465778631126, -74.23891813649567 40.51244824337845))",5,Staten Island,503,51,62,24,11,BREHAUT AVENUE,383,5,79783,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,4,997.8183681
"MULTILINESTRING ((-74.00447344066367 40.71152671003683, -74.00451447278347 40.7115520470061, -74.00455553925153 40.71157735244141, -74.00459664006773 40.711602625442275, -74.00463777404869 40.71162786510809, -74.00467894356134 40.71165307414032, -74.00472014623868 40.711678249837526, -74.00476138326411 40.7117033931001, -74.0048314427179 40.71174598793983, -74.00490159811196 40.711788489980044, -74.00497185299633 40.711830898319825, -74.00504220382065 40.71187321295922, -74.00511265295164 40.711915433897865, -74.00518319802235 40.71195756113577, -74.00525384139958 40.71199959467262))",1,Manhattan,101,1,66,26,10,FRANKFORT STREET,331079,3,30004,MN0101,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,5,276.5738819
"MULTILINESTRING ((-73.76482833105703 40.71327695612938, -73.76479651555594 40.71324795762353))",4,Queens,412,"27,23",29,14,5,195 PLACE,185034,5,60228,QN1206,QN,Baseline,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,,13.76276461
"MULTILINESTRING ((-73.76494934878554 40.71339178465639, -73.76487543204927 40.713320736262304))",4,Queens,412,23,29,14,5,195 PLACE,185032,5,60234,QN1206,QN,Baseline,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,,33.01428394
"MULTILINESTRING ((-73.99964996697686 40.69137438980282, -73.99983141438756 40.69100804347526))",3,Brooklyn,306,39,52,26,7,COLUMBIA STREET,162442,4,6159,BK0601,BK,Community,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,"1,3",142.6407593
"MULTILINESTRING ((-73.89522915191404 40.85961829590085, -73.89484929410357 40.86016616911169))",2,Bronx,205,15,"86,78",33,15,ELM PLACE,80022,3,21955,BX0503,BX,Neighborhood,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,225.5778973
"MULTILINESTRING ((-73.74172782178542 40.603899626212694, -73.74260909897193 40.60334336728356))",4,Queens,414,31,23,15,5,HENRY ROAD,185052,5,65489,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,317.7358227
"MULTILINESTRING ((-73.75731692727928 40.66704031559313, -73.75724601093206 40.66704181391909))",4,Queens,"412,413",31,"32,29","10,14",5,144 AVENUE,185060,5,63020,QN1305,QN,Baseline,"Springfield Gardens (North)-Rochdale Village,Laurelton",X,AREA OF MINIMAL FLOOD HAZARD,5,19.68103661
"MULTILINESTRING ((-73.9037874285173 40.89673704380782, -73.90298379672647 40.89746603296946))",2,Bronx,208,11,81,34,16,GOODRIDGE AVENUE,80879,5,24107,BX0803,BX,Baseline,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,346.2723343
"MULTILINESTRING ((-73.74260909897193 40.60334336728356, -73.74264643096461 40.60331980307566))",4,Queens,414,31,23,15,5,HENRY ROAD,185053,5,65489,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,13.45980819
"MULTILINESTRING ((-74.2406589395541 40.51558199769304, -74.24024780062724 40.515120201614444))",5,Staten Island,503,51,62,24,11,NASHVILLE STREET,387,5,79692,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"4,6",203.4059686
"MULTILINESTRING ((-73.86690377438427 40.816645841826755, -73.86686003337088 40.81665185707962))",2,Bronx,209,18,85,32,15,RANDALL AVENUE,9007529,4,24657,BX0902,BX,Community,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5,12.30407486
"MULTILINESTRING ((-73.99727749746282 40.59490995169443, -73.9968010859214 40.59450662410357))",3,Brooklyn,311,43,"47,46",23,11,SHORE PARKWAY,277557,4,10838,BK1103,BK,Community,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,"2,4",197.7311687
"MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491))",1,Manhattan,103,1,65,26,7,SOUTH STREET,151293,4,31254,MN0301,MN,Community,Chinatown-Two Bridges,AE,,1,178.1277407
"MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491))",1,Manhattan,103,1,65,26,7,SOUTH STREET,151293,4,31254,MN0301,MN,Community,Chinatown-Two Bridges,AE,,1,178.1277407
"MULTILINESTRING ((-73.76116796105083 40.7140094176391, -73.7611880981916 40.71347915583145))",4,Queens,412,23,29,14,5,198 STREET,185070,5,60256,QN1206,QN,Baseline,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,,193.2711322
"MULTILINESTRING ((-73.90284248960927 40.899885761236156, -73.9033071118799 40.900187099388596))",2,Bronx,208,11,81,34,16,LONGVIEW PLACE,276875,5,23638,BX0803,BX,Baseline,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,168.9726735
"MULTILINESTRING ((-74.24024780062724 40.515120201614444, -74.24103859785089 40.51465778631126))",5,Staten Island,503,51,62,24,11,CRAIG AVENUE,391,5,79883,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"4,6",277.0011239
"MULTILINESTRING ((-73.99863026623167 40.71350676221464, -73.99858062693397 40.71346976143778))",1,Manhattan,103,1,65,26,7,WORTH STREET,312136,3,31276,MN0301,MN,Neighborhood,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",19.26384748
"MULTILINESTRING ((-73.89785397602563 40.892371076339636, -73.8977456186494 40.89250940121915))",2,Bronx,208,11,81,34,16,POST ROAD,81078,5,23836,BX0803,BX,Baseline,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,58.62952139
"MULTILINESTRING ((-73.89743364927801 40.894728543125744, -73.8979016233919 40.89571397231965))",2,Bronx,208,11,81,34,16,POST ROAD,81081,5,23835,BX0803,BX,Baseline,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,,381.632544
"MULTILINESTRING ((-73.98321204416916 40.574693633855894, -73.98284201356883 40.572815589351634))",3,Brooklyn,313,47,46,23,8,WEST 16 STREET,18432,5,12353,BK1302,BK,Baseline,Coney Island-Sea Gate,AE,,1,691.8970161
"MULTILINESTRING ((-73.81776211529942 40.71652549767146, -73.81676070445906 40.71682012258635))",4,Queens,408,24,27,14,6,81 AVENUE,185147,5,48299,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,297.6327492
"MULTILINESTRING ((-74.25317614839568 40.50551373245114, -74.25397195621753 40.50537617452911))",5,Staten Island,503,51,62,24,11,SHORE ROAD,278765,5,79631,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,226.9096625
